FreqGoProvider,Deaf,MedConditions_Diabetes,MedConditions_HighBP,MedConditions_LungDisease,MedConditions_Depression,AverageSleepNight,AverageTimeSitting,EverHadCancer,Age,BirthGender,BMI,PHQ4,WeeklyMinutesModerateExercise,AvgDrinksPerWeek,GeneralHealth_Excellent,GeneralHealth_VeryGood,GeneralHealth_Good,GeneralHealth_Fair,GeneralHealth_Poor,smokeStat_Current,smokeStat_Former,smokeStat_Never,eCigUse_Current,eCigUse_Former,eCigUse_Never
0.020404192,0.008782601,0.020531368,-0.12763752,-0.058142025,-0.002555215,0.03313491,0.0910832,0.027670305,0.6269157,-0.00902269,-0.13216507,0.051471487,-0.011930453,-0.21814463,0.0852998,-1.1436156,0.2475886,0.24170855,0.044879064,-1.7259187,0.38275972,0.3877403,0.017681789,0.026279094,-0.07628688
0.08175629,0.014287065,-0.20628443,-0.109040305,-0.011390022,0.036638983,-0.22107385,-0.34318605,0.021049064,0.7592532,-0.051190298,0.034715228,-0.01814023,0.18274409,0.009031884,0.13314621,0.2053264,-1.3114288,0.20417766,0.043607984,0.20486552,0.29371002,-1.3943481,0.008860897,0.014171459,-0.051256016
0.002912967,0.019974517,0.015500388,-0.10124339,-0.001919576,0.015620167,0.025613293,-0.12860052,0.023085425,0.9542896,-0.0053865695,-0.07412526,0.09581351,0.03139332,-0.04319368,0.11899296,-1.5639224,0.29652232,0.25025278,0.04592545,0.21192895,0.3280298,-1.3524953,0.008277377,0.015413055,-0.036052216
0.011163997,0.02050462,0.015802622,-0.11136856,-0.0072296932,0.018462483,0.019381076,-0.11218762,0.022900775,0.92924047,-0.0022204523,-0.05137458,0.15169455,0.030660879,-0.0706078,0.11609535,-1.4174025,0.27599,0.2349556,0.047995236,0.20624335,0.3279821,-1.343251,0.008330746,0.01543738,-0.03656909
-0.009657127,0.011751962,0.09141553,0.09571208,-0.007797425,0.0604427,-0.31412715,-0.21543758,0.021935783,0.7948445,0.03003548,0.08217043,-0.109031014,0.020445293,-0.3644088,0.09752733,0.1965715,-1.0340818,0.21026142,0.04025892,0.22544755,-1.0710621,0.45467564,0.00986303,0.020688634,-0.05379611
0.014250821,0.014473516,0.0051344144,-0.11954793,-0.041474957,-0.08694783,0.0132432105,-0.06683409,0.016903108,0.9104552,-0.017904539,-0.031122576,0.19087861,0.011743457,-0.005683459,0.1084878,-1.3844264,0.29371977,0.21293098,0.048741214,0.18638596,0.33217555,-1.4614168,0.009014015,0.013160458,-0.039402217
0.06354665,0.01699931,0.071224526,0.099719055,-0.0077591063,0.036917776,-0.26237512,-0.22668052,0.02962462,0.8778807,-0.004300821,0.05182217,-0.039246198,-0.060695913,0.014180727,0.13180628,0.14139915,-1.482963,0.2172947,0.041795526,0.20585293,0.28744432,-1.5486124,0.0093001565,0.018431466,-0.041688774
0.063505515,0.017746665,0.065048985,-0.10975458,-0.016424563,0.031690866,-0.2666023,-0.28511736,0.025093596,0.80302936,-0.0009897157,0.03559693,0.0020366823,-0.09260622,0.013705708,0.13375181,0.16019067,-1.3765922,0.20951402,0.045168303,0.20023298,0.30286115,-1.5256851,0.009626336,0.019097883,-0.04721636
0.18357307,0.01591875,0.024696955,-0.13231142,-0.0097475005,-0.033095673,-0.10484855,-0.14068761,0.019599203,0.7255512,-0.036325365,-0.029013356,-0.0071590412,-0.015309853,-0.054464895,-2.578021,0.08576895,0.32096243,0.25155735,0.06317385,0.2030528,0.31850323,-1.4377643,0.008448565,0.018725375,-0.028096657
0.11041644,0.029287826,-0.100548126,-0.099707186,-0.061066434,0.02691589,-0.025056778,-0.2917151,0.030771973,1.1245241,0.010459927,-0.081354745,-0.07054992,5.6071207e-05,0.039140828,0.21212101,0.29755807,0.47780156,-0.72908765,0.04086885,0.21251583,0.27397987,-1.2078133,0.009085039,0.016576855,-0.04317602
0.049444064,-0.13992389,-0.15763603,0.092020094,-0.018819623,0.020024085,-0.2223176,-0.1586662,0.013404279,0.6528984,-0.0118822865,0.002545154,0.03373416,-0.075661995,0.017277084,0.12593095,0.0959153,-1.4938693,0.20263559,0.043174453,0.19363172,0.3162,-1.569668,0.009104514,0.018626316,-0.04566388
0.0037764898,0.013103341,0.015594834,0.105140805,-0.007979458,-0.11660421,0.013301944,-0.06748247,0.016799333,1.0449164,0.015332886,-0.117761284,0.10363915,-0.076468155,0.010623587,0.11250634,-1.4945753,0.3320314,0.23752522,0.045117952,0.1998128,0.30233893,-1.412554,0.008210755,0.013259145,-0.03573877
0.051597707,-0.06718172,-0.20289224,0.08050201,0.012906375,-0.21303105,-0.18635342,0.00065067725,0.016592324,0.63671,-0.013582986,0.01963005,0.009293297,-0.20837957,0.0041701975,0.08423765,0.17403995,-1.1430556,0.19564468,0.041066896,0.18361661,-1.1541406,0.53226864,0.02597677,-0.5016873,0.32644156
-0.00039790722,-0.09380709,-0.22760442,0.07183857,0.00409359,-0.2627147,-0.2212272,0.02999462,-0.06325141,0.65061516,-0.009680283,-0.004331093,-0.03330782,-0.09047819,0.033035368,0.09019442,0.12529236,-1.2579514,0.19605725,0.042227432,0.20333648,-1.1620302,0.5048877,0.01072358,0.015653392,-0.06956339
0.12795249,0.010914374,0.0212364,0.08991191,-0.004118176,-0.030473541,-0.12840483,-0.11880266,-0.085389785,0.6326222,0.010185641,0.035026044,0.03329885,-0.029448882,0.20064688,-2.5804667,0.12853125,0.21777625,0.25924066,0.05566857,0.21133602,0.29691374,-1.4682152,0.0087222345,0.0181098,-0.028369403
0.11070145,0.0050415844,0.018369753,-0.068799295,-0.01141605,0.051101364,-0.1018851,-0.117998585,0.015078035,0.48321852,0.005896537,0.042258356,-0.017426327,-0.011402794,0.08362988,-2.2849016,0.13501532,0.2576975,0.2617687,0.062340572,0.20289761,0.31832197,-1.486622,0.008570445,0.016966935,-0.033222206
0.13120721,0.0056989524,0.06783989,0.09933715,-0.021420704,-0.19921501,-0.25131696,-0.23691145,0.020312399,0.7613537,0.0004848753,0.024714336,-0.005118672,-0.14086357,0.0048115826,0.12011112,0.071590774,-1.3631535,0.20957966,0.04444959,0.2047528,0.30758613,-1.5225363,0.009492647,0.019792663,-0.04288052
0.008412898,0.020550357,0.015954886,-0.11961113,-0.004990937,0.019555904,0.022846388,-0.117123015,0.02290804,0.95155126,-0.0024625862,-0.041456215,0.20004559,0.028963516,-0.06523235,0.11958599,-1.503621,0.30361634,0.2468588,0.04765427,0.21116468,0.326597,-1.3329659,0.00828732,0.015685925,-0.03598266
0.007061584,-0.09900682,0.06255152,-0.11568114,-0.012641075,0.04974638,-0.28784317,-0.20331573,0.01891459,0.82929206,-0.027219249,0.0406285,-0.07606478,0.10824855,0.035990335,0.10107085,0.3027396,-0.9260759,0.19608827,0.04205431,0.18420152,-1.0484493,0.5820003,0.026326207,-0.38806006,0.3496979
0.26789254,0.020050274,0.019236537,-0.12322634,-0.0060577984,0.023703724,0.044247277,-0.1611147,0.033258058,0.9818372,-0.004706771,-0.0829333,0.043293178,0.08647476,-0.059179164,0.11742037,-1.218939,0.25592148,0.2296497,0.046532594,0.20817128,0.30989766,-1.253491,-0.31821978,0.026069066,0.14846551
-0.010033071,0.008311689,0.031435184,0.08721098,-0.20332347,0.019477064,-0.07251961,0.08417984,0.03236354,0.68316483,-0.0077336356,-0.16588704,0.08700207,-0.05115486,0.033986162,0.123558596,0.18095528,0.31398442,-0.85727775,0.041244075,-1.7086291,0.14343661,0.23318905,0.019921426,0.027544986,-0.06857092
0.10135214,0.021482915,-0.084642105,-0.09289079,-0.065697186,-0.16270936,-0.029885104,-0.22132392,0.027919589,1.0554756,0.003076765,-0.07335973,-0.041903883,-0.019687722,0.031137645,0.18622698,0.28598437,0.49313363,-0.6992362,0.041218773,0.21128061,0.27924073,-1.2243692,0.009367382,0.01574408,-0.043046005
0.19526358,0.0026473578,0.0657787,-0.09222769,-0.069339305,0.028471436,-0.18118341,-0.086217634,0.032689895,0.77522606,-0.0021914472,-0.04869399,0.02842583,-0.032078836,0.10125413,0.087571934,0.18617328,-0.735492,0.20005643,0.040017728,-1.4025338,0.2738393,0.54294354,0.03222731,-0.2769245,0.31537747
0.035138723,-0.1306748,0.07509082,0.081427835,-0.0050465297,0.029037211,-0.24931544,-0.2856458,0.018925985,0.8424324,0.0029926135,0.053718057,-0.05888959,0.27161518,0.13233179,0.13335021,0.2722974,-1.1428858,0.22636785,0.04040852,0.20986804,0.2886958,-1.3216988,0.008789359,0.016131552,-0.04099541
0.006404733,0.012901537,0.095938735,0.094293065,-0.007159196,0.06800133,-0.33721372,-0.28203243,0.022274373,0.8531604,0.013632195,0.11907178,-0.120005354,0.005875214,0.07124701,0.10499047,0.16904327,-1.0781049,0.2161171,0.04170675,0.24232922,-1.001143,0.56193066,0.011214172,0.026767658,-0.056474164
-0.030399786,0.016893521,0.018813362,-0.38609937,-0.024831316,0.015095019,-0.034370184,-0.051082548,0.016358463,0.69590354,-0.0038914084,-0.08135095,0.07960421,0.15342776,-0.25028583,0.09586254,-1.5792367,0.2859412,0.23222938,0.046369392,0.21749333,-1.2871286,0.44691178,0.009214162,0.017493004,-0.04425071
0.030606259,0.030589173,0.02255533,0.06298354,-0.050811127,0.03325981,-0.09865934,-0.27912006,0.038764283,1.1735084,-0.02292904,-0.038890526,-0.006986128,-0.024680812,0.05618909,0.21160156,0.3744501,0.43404087,-0.79548115,0.037288796,0.21248996,0.27482,-1.1839461,0.008860656,0.016631577,-0.037902206
0.105417326,0.014331488,0.017803093,0.06578784,-0.0037819904,-0.025251094,-0.13507459,-0.1503353,0.022109313,0.5831545,-0.011648827,0.028487086,0.02847068,-0.028384726,0.048508316,-2.6170418,0.14546409,0.21442704,0.26813245,0.056544997,0.20616719,0.3218008,-1.4523315,0.008438775,0.016464902,-0.028893767
0.062201127,0.01681358,0.02546781,-0.42579594,-0.010483529,0.02318651,-0.027229471,-0.102923326,0.022694394,0.7703149,-0.0007637155,-0.06009615,0.041568764,0.19134472,-0.29248682,0.10209132,-1.5320538,0.2963939,0.24257642,0.04891283,0.23054858,-1.2783862,0.3673544,0.009277517,0.019948157,-0.042472746
0.030822136,0.014458698,0.06914036,-0.12667668,-0.009400235,0.03361213,-0.23260115,-0.32159898,0.016980104,0.90806174,-0.03364901,0.061173044,-0.06736816,-0.12664644,0.008824887,0.13765247,0.12451328,-1.5103092,0.21604222,0.044972282,0.21836102,0.2895948,-1.557502,0.009380502,0.020959636,-0.043908678
0.06690447,0.01657518,0.028784739,-0.43418497,-0.010350647,0.022957003,-0.026601322,-0.10853684,0.021519186,0.8031453,-0.017123127,-0.06735501,0.03533257,0.2045951,-0.31546578,0.10082848,-1.4945372,0.28635192,0.23323219,0.048888978,0.22727998,-1.2748463,0.36196792,0.009197284,0.018578133,-0.041904077
0.073313,0.0078625735,-0.09717132,0.07366483,-0.12546898,0.015699754,0.023837766,0.113163285,0.036305767,0.7819756,0.021051362,-0.12604675,-0.009419996,-0.079022035,-0.2520168,0.10954225,0.23313862,0.34707236,-0.75886023,0.03756356,-1.7720987,0.20438164,0.15205477,0.018389542,0.03286384,-0.058422733
0.11338645,0.013748323,0.07561703,-0.09478268,-0.008859227,0.037693333,-0.25686884,-0.40303636,0.024810795,0.79645026,0.012613899,0.03967802,-0.05493823,0.23899397,0.118700065,0.13655974,0.20754375,-1.0532988,0.21799386,0.04406704,0.21296251,0.29298812,-1.2777158,0.009391206,0.018528549,-0.045037005
-0.008456075,0.0073851678,0.080642276,0.079383224,-0.0032425306,-0.2813418,-0.27003053,-0.03051294,-0.051389486,0.7497271,0.0023397,0.0695621,-0.050133813,-0.055129733,-0.08966548,0.09278785,0.11971179,-1.1127725,0.20605782,0.042685393,0.22561999,-1.1179972,0.47672683,0.01088469,0.022865895,-0.055230226
-0.010055808,0.011677579,-0.2577041,0.08701378,-0.01097942,0.04981082,-0.2149261,-0.06356178,0.01983403,0.6492218,-0.04505559,0.064293966,-0.078359,-0.112055786,-0.35672188,0.094836935,0.19589862,-1.2267615,0.20673645,0.040971242,0.2158657,-1.1914665,0.5371361,0.009861511,0.023966951,-0.061187614
0.071882986,0.0051178676,0.07365779,-0.0972992,-0.014506338,-0.20187208,-0.24315181,-0.25925696,0.017371241,0.7718512,-0.039523017,0.06667945,-0.030559039,0.15953965,-0.005742161,0.124297015,0.2139645,-1.1467949,0.19944046,0.044115603,0.19696546,0.30266634,-1.4007349,0.008973629,0.012531806,-0.04953473
